,0,1
0,0.811045622501,-2.26511513374
1,-0.288880815385,-5.68304888314
11,2.7337008931,-9.14592652436
a,-3.20274983073,-0.205929543104
aback,-0.742685013815,-7.49639049957
abandon,-0.259742972824,-5.10724334997
abandoned,5.73275085783,-2.6505477728
abandoning,1.79053848212,-2.86525792818
abashed,-2.80102174962,-3.04822094686
abed,1.2058513136,-8.8638258544
abel,4.52276913241,-8.40568324485
abels,4.44703078031,-7.86334512274
abhor,4.70771928579,-8.82026408326
abide,-0.0191454550282,-6.29891419423
ablaze,1.9953037774,0.808552696593
able,-1.49986849761,-4.77513486323
aboard,5.0976624285,-3.42664148784
abomination,4.70273781106,-5.23621262878
abominations,4.50252902868,-4.17714661297
about,2.24215731447,-7.58386939457
above,3.15395730318,2.53254074963
abreast,2.23026716997,0.00785366267534
abroad,3.92932681782,-7.33984294475
abrupt,3.84697096219,-5.86525361707
abruptly,2.1847080269,5.22848527629
absence,0.316348961033,0.471913046624
absent,4.54969534177,-7.95159710317
absurd,1.72963945462,-8.38715297923
absurdly,-2.38397083949,5.65424220386
abyss,2.17459391361,0.51002534289
accent,0.10948125655,0.41300979115
accents,1.60057103607,2.48911108907
accept,-0.441673995991,-5.15867130901
acceptance,3.76194442503,-7.90236261858
accepted,1.38792287281,4.32005032955
accepting,4.71902147631,-3.83878421289
access,5.38462044863,-7.3812235112
accommodate,4.65646318021,-8.01818857925
accommodations,3.79900375706,-9.04677071429
accompanied,0.0849789868523,1.92422829356
accompany,0.32306146637,-5.76887711095
accomplish,0.370924577173,-6.06386649035
accomplished,3.49022711983,-8.96629633679
accord,1.77885381493,-0.415041548192
according,2.27928817556,-7.68711011245
account,-0.996304388676,0.976100143557
accounts,1.66819853266,0.570374766998
accursed,2.44191420223,-8.1505422606
accusation,3.60392943953,-5.83751340946
accusations,0.949036819906,-7.4863299152
accuse,0.438116019186,-6.04854094003
accused,4.93289124777,-1.60932975171
accusing,-0.133731657377,-2.55598810907
accustomed,1.01525792406,-5.8919877536
ache,-0.0115853712927,6.49624814982
ached,-3.60273734248,5.3123705686
aches,1.28838227,-2.61129071009
aching,0.536092344148,6.50303190521
acid,1.09783939232,-1.28138778158
acknowledged,0.256199033098,-7.31151970891
acolyte,4.16780962287,-3.70242086337
acolytes,-0.290876782643,1.99698192024
acorn,2.56659680917,2.15615512297
acorns,-0.560986411663,3.36614315616
acquaint,0.595424585856,-5.96720141748
acquired,0.575732125498,0.357366672559
acres,-0.609014703732,0.979787219857
